observer,cd,targ_side,bk,t,rt,acc
d1,long,absent,block 1,28,16.014,1
d1,long,absent,block 1,29,11.496,1
d1,long,heterogeneous,block 1,30,4.824,1
d1,long,homogeneous,block 1,31,2.107,1
d1,long,heterogeneous,block 1,32,9.884,0
d1,long,heterogeneous,block 1,33,4.189,1
d1,long,heterogeneous,block 1,34,15.555,0
d1,long,absent,block 1,35,17.037,1
d1,long,absent,block 1,36,13.12,1
d1,long,heterogeneous,block 1,37,11.731,0
d1,long,absent,block 1,38,12.508,1
d1,long,homogeneous,block 1,39,2.848,1
d1,long,heterogeneous,block 1,40,14.967,0
d1,long,homogeneous,block 1,41,0.907,1
d1,long,absent,block 1,42,13.214,1
d1,long,absent,block 1,43,11.732,1
d1,long,absent,block 1,44,10.814,1
d1,long,homogeneous,block 1,45,0.86,1
d1,long,absent,block 1,46,16.825,1
d1,long,absent,block 1,47,14.579,1
d1,long,absent,block 1,48,16.097,1
d1,long,heterogeneous,block 1,49,17.002,0
d1,long,homogeneous,block 1,50,0.707,1
d1,long,homogeneous,block 1,51,0.719,1
d1,long,heterogeneous,block 1,52,10.766,0
d1,long,homogeneous,block 1,53,0.848,1
d1,long,absent,block 1,54,9.237,1
d1,long,absent,block 1,55,11.367,1
d1,long,absent,block 1,56,9.307,1
d1,long,homogeneous,block 1,57,0.601,1
d1,long,heterogeneous,block 1,58,7.766,0
d1,long,heterogeneous,block 1,59,11.143,0
d1,long,heterogeneous,block 1,60,13.425,0
d1,long,absent,block 1,61,12.72,1
d1,long,absent,block 1,62,12.92,1
d1,long,homogeneous,block 1,63,1.036,1
d1,long,homogeneous,block 1,64,0.825,1
d1,long,homogeneous,block 1,65,0.707,1
d1,long,homogeneous,block 1,66,0.543,1
d1,long,heterogeneous,block 1,67,7.826,0
d1,long,absent,block 1,68,6.684,1
d1,long,absent,block 1,69,8.425,1
d1,long,heterogeneous,block 1,70,9.26,0
d1,long,homogeneous,block 1,71,0.777,1
d1,long,homogeneous,block 1,72,0.942,1
d1,long,absent,block 1,73,9.555,1
d1,long,absent,block 1,74,7.696,1
d1,long,absent,block 1,75,9.048,1
d1,long,absent,block 1,76,11.99,0
d1,long,heterogeneous,block 1,77,15.167,0
d1,long,absent,block 1,78,10.661,1
d1,long,heterogeneous,block 1,79,19.226,0
d1,long,heterogeneous,block 1,80,15.79,0
d1,long,heterogeneous,block 1,81,6.637,0
d1,long,absent,block 1,82,13.084,1
d1,long,absent,block 1,83,10.226,1
d1,long,absent,block 1,84,13.001,1
d1,long,absent,block 1,85,11.402,1
d1,long,absent,block 1,86,15.284,1
d1,long,absent,block 1,87,16.296,1
d1,long,heterogeneous,block 1,88,2.825,1
d1,long,homogeneous,block 1,89,0.919,1
d1,long,absent,block 1,90,9.002,1
d1,long,homogeneous,block 1,91,2.037,1
d1,long,absent,block 1,92,7.202,1
d1,long,homogeneous,block 1,93,0.542,1
d1,long,heterogeneous,block 1,94,5.425,1
d1,long,absent,block 1,95,4.272,1
d1,long,absent,block 1,96,6.06,1
d2,brief,absent,block 1,1,2.902,1
d2,brief,absent,block 1,2,2.786,1
d2,brief,absent,block 1,3,2.836,1
d2,brief,absent,block 1,4,2.869,1
d2,brief,absent,block 1,5,3.203,1
d2,brief,absent,block 1,6,2.786,1
d2,brief,absent,block 1,7,2.853,1
d2,brief,absent,block 1,8,2.786,1
d2,brief,homogeneous,block 1,9,0.835,1
d2,brief,homogeneous,block 1,10,1.219,1
d2,brief,absent,block 1,11,2.703,1
d2,brief,absent,block 1,12,3.62,1
d2,brief,absent,block 1,13,2.669,1
d2,brief,heterogeneous,block 1,14,1.919,1
d2,brief,homogeneous,block 1,15,0.752,1
d2,brief,heterogeneous,block 1,16,2.619,1
d2,brief,absent,block 1,17,2.769,1
d2,brief,absent,block 1,18,2.603,1
d2,brief,absent,block 1,19,3.069,1
d2,brief,heterogeneous,block 1,20,1.085,1
d2,brief,absent,block 1,21,2.503,1
d2,brief,heterogeneous,block 1,22,1.869,1
d2,brief,absent,block 1,23,2.353,1
d2,brief,absent,block 1,24,1.853,1
d2,brief,absent,block 1,25,2.836,1
d2,brief,homogeneous,block 1,26,0.768,1
d2,brief,heterogeneous,block 1,27,1.569,1
d2,brief,absent,block 1,28,2.669,1
d2,brief,homogeneous,block 1,29,0.701,1
d2,brief,absent,block 1,30,2.669,1
d2,brief,heterogeneous,block 1,31,1.419,1
d2,brief,homogeneous,block 1,32,0.702,1
d2,brief,homogeneous,block 1,33,0.618,1
d2,brief,absent,block 1,34,2.402,1
d2,brief,heterogeneous,block 1,35,2.069,0
d2,brief,absent,block 1,36,2.919,1
d2,brief,heterogeneous,block 1,37,0.951,1
d2,brief,homogeneous,block 1,38,0.935,1
d2,brief,heterogeneous,block 1,39,0.902,1
d2,brief,heterogeneous,block 1,40,2.403,0
d2,brief,homogeneous,block 1,41,0.702,1
d2,brief,absent,block 1,42,2.669,1
d2,brief,absent,block 1,43,2.869,1
d2,brief,heterogeneous,block 1,44,1.386,1
d2,brief,homogeneous,block 1,45,0.685,1
d2,brief,absent,block 1,46,2.686,1
d2,brief,absent,block 1,47,2.535,1
d2,brief,homogeneous,block 1,48,0.669,1
d2,brief,heterogeneous,block 1,49,1.335,0
d2,brief,homogeneous,block 1,50,0.634,1
d2,brief,absent,block 1,51,2.586,1
d2,brief,homogeneous,block 1,52,0.601,1
d2,brief,homogeneous,block 1,53,0.652,1
d2,brief,absent,block 1,54,2.369,1
d2,brief,homogeneous,block 1,55,0.551,1
d2,brief,absent,block 1,56,2.486,1
d2,brief,homogeneous,block 1,57,0.752,1
d2,brief,homogeneous,block 1,58,0.585,1
d2,brief,homogeneous,block 1,59,0.568,1
d2,brief,absent,block 1,60,2.569,1
d2,brief,heterogeneous,block 1,61,2.736,0
d2,brief,absent,block 1,62,2.436,1
d2,brief,absent,block 1,63,2.686,1
d2,brief,heterogeneous,block 1,64,3.003,0
d2,brief,absent,block 1,65,2.636,1
d2,brief,heterogeneous,block 1,66,2.636,0
d2,brief,homogeneous,block 1,67,0.735,1
d2,brief,heterogeneous,block 1,68,2.203,1
d2,brief,heterogeneous,block 1,69,3.236,0
d2,brief,heterogeneous,block 1,70,2.853,0
d2,brief,heterogeneous,block 1,71,0.935,1
d2,brief,absent,block 1,72,2.736,1
d2,brief,absent,block 1,73,2.703,1
d2,brief,absent,block 1,74,2.569,1
d2,brief,heterogeneous,block 1,75,1.085,1
d2,brief,heterogeneous,block 1,76,2.469,0
d2,brief,homogeneous,block 1,77,0.618,1
d2,brief,homogeneous,block 1,78,0.901,1
d2,brief,absent,block 1,79,2.819,1
d2,brief,heterogeneous,block 1,80,2.369,1
d2,brief,absent,block 1,81,2.636,1
d2,brief,absent,block 1,82,2.502,1
d2,brief,homogeneous,block 1,83,0.818,1
d2,brief,absent,block 1,84,2.336,1
d2,brief,absent,block 1,85,1.852,1
d2,brief,heterogeneous,block 1,86,2.119,0
d2,brief,absent,block 1,87,2.452,1
d2,brief,absent,block 1,88,2.436,1
d2,brief,absent,block 1,89,2.853,1
d2,brief,absent,block 1,90,2.652,1
d2,brief,absent,block 1,91,2.703,1
d2,brief,homogeneous,block 1,92,0.685,1
d2,brief,homogeneous,block 1,93,0.735,1
d2,brief,absent,block 1,94,1.868,1
d2,brief,absent,block 1,95,2.503,1
d2,brief,heterogeneous,block 1,96,2.152,0
d2,long,absent,block 2,97,3.42,1
d2,long,homogeneous,block 2,98,0.585,1
d2,long,homogeneous,block 2,99,0.651,1
d2,long,absent,block 2,100,2.086,1
d2,long,homogeneous,block 2,101,0.652,1
d2,long,absent,block 2,102,2.236,1
d2,long,absent,block 2,103,1.969,1
d2,long,heterogeneous,block 2,104,2.735,0
d2,long,absent,block 2,105,4.92,1
d2,long,absent,block 2,106,2.836,1
d2,long,heterogeneous,block 2,107,2.519,0
d2,long,homogeneous,block 2,108,0.684,1
d2,long,heterogeneous,block 2,109,2.385,0
d2,long,heterogeneous,block 2,110,0.919,1
d2,long,heterogeneous,block 2,111,1.068,1
d2,long,absent,block 2,112,4.237,1
d2,long,absent,block 2,113,4.67,1
d2,long,homogeneous,block 2,114,0.685,1
d2,long,absent,block 2,115,3.119,1
d2,long,absent,block 2,116,2.852,1
d2,long,homogeneous,block 2,117,0.668,1
d2,long,absent,block 2,118,3.102,1
d2,long,homogeneous,block 2,119,0.618,1
d2,long,homogeneous,block 2,120,0.635,1
d2,long,absent,block 2,121,3.053,1
d2,long,heterogeneous,block 2,122,3.153,0
d2,long,heterogeneous,block 2,123,3.22,0
d2,long,absent,block 2,124,5.154,1
d2,long,absent,block 2,125,3.653,1
d2,long,absent,block 2,126,4.103,1
d2,long,absent,block 2,127,2.819,1
d2,long,heterogeneous,block 2,128,0.952,1
d2,long,absent,block 2,129,2.153,1
d2,long,absent,block 2,130,3.636,1
d2,long,absent,block 2,131,2.436,1
d2,long,heterogeneous,block 2,132,1.068,1
d2,long,homogeneous,block 2,133,0.718,1
d2,long,absent,block 2,134,2.386,1
d2,long,homogeneous,block 2,135,0.685,1
d2,long,homogeneous,block 2,136,0.669,1
d2,long,absent,block 2,137,2.619,1
d2,long,homogeneous,block 2,138,0.685,1
d2,long,absent,block 2,139,2.169,1
d2,long,absent,block 2,140,1.719,1
d2,long,homogeneous,block 2,141,0.635,1
d2,long,heterogeneous,block 2,142,0.969,1
d2,long,homogeneous,block 2,143,0.585,1
d2,long,heterogeneous,block 2,144,2.452,0
d2,long,heterogeneous,block 2,145,0.968,1
d2,long,absent,block 2,146,1.986,1
d2,long,heterogeneous,block 2,147,2.302,0
d2,long,homogeneous,block 2,148,0.634,1
d2,long,homogeneous,block 2,149,0.619,1
d2,long,absent,block 2,150,3.886,1
