person, block, trialNum, trialType, targetPresent, targSide, easySide, targLocX, targLocY, response, rt
5, 1, 1, half, present, hard, right, 172, 266, 1, 5.587
5, 1, 2, half, present, hard, right, 334, 579, 1, 9.941
5, 1, 3, half, present, easy, right, 778, 124, 1, 0.977
5, 1, 4, half, present, hard, right, 77, 418, 1, 4.941
5, 1, 5, half, present, hard, right, 87, 548, 1, 6.066
5, 1, 6, half, present, easy, left, 445, 465, 1, 0.727
5, 1, 7, half, absent, hard, left, NaN, NaN, -1, 8.053
5, 1, 8, half, present, easy, left, 123, 194, 1, 0.765
5, 1, 9, half, absent, easy, right, NaN, NaN, -1, 7.962
5, 1, 10, half, present, hard, left, 589, 418, 1, 1.318
5, 1, 11, half, absent, easy, right, NaN, NaN, -1, 5.883
5, 1, 12, half, present, hard, left, 921, 305, 1, 1.955
5, 1, 13, half, absent, hard, left, NaN, NaN, -1, 7.339
5, 1, 14, half, present, easy, right, 580, 392, 1, 0.635
5, 1, 15, half, absent, easy, left, NaN, NaN, -1, 5.860
5, 1, 16, half, absent, hard, right, NaN, NaN, -1, 6.690
5, 1, 17, half, absent, hard, left, NaN, NaN, -1, 7.271
5, 1, 18, half, absent, hard, right, NaN, NaN, -1, 7.829
5, 1, 19, half, absent, hard, right, NaN, NaN, -1, 5.835
5, 1, 20, half, absent, hard, right, NaN, NaN, -1, 7.582
5, 1, 21, half, absent, easy, right, NaN, NaN, -1, 8.824
5, 1, 22, half, absent, easy, right, NaN, NaN, -1, 8.749
5, 1, 23, half, absent, hard, left, NaN, NaN, -1, 8.575
5, 1, 24, half, present, hard, right, 68, 392, 1, 4.868
5, 1, 25, half, present, easy, left, 240, 392, 1, 0.888
5, 1, 26, half, present, hard, right, 328, 187, 1, 1.051
5, 1, 27, half, absent, hard, left, NaN, NaN, -1, 5.793
5, 1, 28, half, absent, hard, right, NaN, NaN, -1, 6.492
5, 1, 29, half, absent, easy, left, NaN, NaN, -1, 4.910
5, 1, 30, half, present, easy, right, 610, 643, 1, 0.735
5, 1, 31, half, present, hard, left, 648, 685, 1, 1.717
5, 1, 32, half, absent, easy, left, NaN, NaN, -1, 6.493
5, 1, 33, half, absent, easy, left, NaN, NaN, -1, 5.534
5, 1, 34, half, absent, hard, right, NaN, NaN, -1, 6.950
5, 1, 35, half, present, hard, left, 626, 574, 1, 2.637
5, 1, 36, half, absent, easy, left, NaN, NaN, -1, 6.343
5, 1, 37, half, absent, hard, left, NaN, NaN, -1, 5.529
5, 1, 38, half, absent, easy, right, NaN, NaN, -1, 6.011
5, 1, 39, half, present, easy, left, 278, 670, 1, 0.948
5, 1, 40, half, absent, easy, right, NaN, NaN, -1, 4.734
5, 1, 41, half, absent, hard, left, NaN, NaN, -1, 5.657
5, 1, 42, half, absent, hard, right, NaN, NaN, -1, 4.799
5, 1, 43, half, present, easy, left, 114, 574, 1, 0.803
5, 1, 44, half, absent, easy, left, NaN, NaN, -1, 4.320
5, 1, 45, half, absent, hard, left, NaN, NaN, -1, 4.458
5, 1, 46, half, present, easy, right, 945, 248, 1, 0.903
5, 1, 47, half, present, easy, right, 813, 493, 1, 0.650
5, 1, 48, half, present, easy, right, 844, 421, 1, 0.725
5, 1, 49, half, absent, hard, left, NaN, NaN, -1, 3.619
5, 1, 50, half, present, hard, right, 88, 78, 1, 1.532
5, 1, 51, half, absent, easy, right, NaN, NaN, -1, 4.135
5, 1, 52, half, present, hard, right, 310, 104, 1, 1.001
5, 1, 53, half, absent, easy, left, NaN, NaN, -1, 5.083
5, 1, 54, half, present, easy, right, 900, 528, 1, 0.663
5, 1, 55, half, absent, easy, right, NaN, NaN, -1, 5.044
5, 1, 56, half, absent, easy, left, NaN, NaN, -1, 3.717
5, 1, 57, half, present, easy, right, 578, 679, 1, 0.918
5, 1, 58, half, absent, easy, left, NaN, NaN, -1, 3.170
5, 1, 59, half, present, hard, left, 635, 194, 1, 1.731
5, 1, 60, half, absent, easy, left, NaN, NaN, -1, 4.702
5, 1, 61, half, present, hard, left, 589, 418, 1, 0.991
5, 1, 62, half, absent, hard, right, NaN, NaN, -1, 5.024
5, 1, 63, half, present, easy, left, 409, 305, 1, 0.760
5, 1, 64, half, present, hard, right, 289, 102, 1, 1.307
5, 1, 65, half, absent, hard, right, NaN, NaN, -1, 5.301
5, 1, 66, half, present, easy, right, 719, 68, 1, 0.900
5, 1, 67, half, absent, easy, right, NaN, NaN, -1, 5.104
5, 1, 68, half, present, easy, left, 129, 542, 1, 0.901
5, 1, 69, half, present, easy, left, 310, 104, 1, 0.869
5, 1, 70, half, present, hard, left, 926, 208, 1, 1.065
5, 1, 71, half, absent, hard, right, NaN, NaN, -1, 4.637
5, 1, 72, half, present, easy, right, 752, 392, 1, 0.713
5, 1, 73, half, present, hard, right, 328, 187, 1, 0.894
5, 1, 74, half, present, hard, left, 875, 369, 1, 1.532
5, 1, 75, half, present, easy, left, 95, 511, 1, 0.690
5, 1, 76, half, absent, easy, right, NaN, NaN, -1, 5.053
5, 1, 77, half, present, hard, left, 690, 703, 1, 2.247
5, 1, 78, half, absent, hard, left, NaN, NaN, -1, 4.808
5, 1, 79, half, present, easy, left, 73, 347, 1, 0.753
5, 1, 80, half, present, hard, left, 945, 248, 1, 1.674
