person, block, trialNum, trialType, targetPresent, targSide, easySide, targLocX, targLocY, response, rt
11, 1, 1, half, present, hard, right, 172, 266, 1, 6.047
11, 1, 2, half, present, hard, right, 334, 579, 1, 1.403
11, 1, 3, half, present, easy, right, 778, 124, 1, 0.879
11, 1, 4, half, present, hard, right, 77, 418, -1, 1.531
11, 1, 5, half, present, hard, right, 87, 548, -1, 2.709
11, 1, 6, half, present, easy, left, 445, 465, 1, 1.084
11, 1, 7, half, absent, hard, left, NaN, NaN, -1, 3.672
11, 1, 8, half, present, easy, left, 123, 194, 1, 1.032
11, 1, 9, half, absent, easy, right, NaN, NaN, -1, 3.985
11, 1, 10, half, present, hard, left, 589, 418, 1, 1.942
11, 1, 11, half, absent, easy, right, NaN, NaN, -1, 1.458
11, 1, 12, half, present, hard, left, 921, 305, 1, 1.558
11, 1, 13, half, absent, hard, left, NaN, NaN, -1, 2.430
11, 1, 14, half, present, easy, right, 580, 392, 1, 0.587
11, 1, 15, half, absent, easy, left, NaN, NaN, -1, 1.871
11, 1, 16, half, absent, hard, right, NaN, NaN, -1, 1.553
11, 1, 17, half, absent, hard, left, NaN, NaN, -1, 1.794
11, 1, 18, half, absent, hard, right, NaN, NaN, -1, 1.570
11, 1, 19, half, absent, hard, right, NaN, NaN, -1, 2.661
11, 1, 20, half, absent, hard, right, NaN, NaN, -1, 2.621
11, 1, 21, half, absent, easy, right, NaN, NaN, -1, 2.149
11, 1, 22, half, absent, easy, right, NaN, NaN, -1, 2.286
11, 1, 23, half, absent, hard, left, NaN, NaN, -1, 3.239
11, 1, 24, half, present, hard, right, 68, 392, 1, 2.100
11, 1, 25, half, present, easy, left, 240, 392, 1, 0.691
11, 1, 26, half, present, hard, right, 328, 187, 1, 0.677
11, 1, 27, half, absent, hard, left, NaN, NaN, -1, 1.166
11, 1, 28, half, absent, hard, right, NaN, NaN, -1, 2.192
11, 1, 29, half, absent, easy, left, NaN, NaN, -1, 2.303
11, 1, 30, half, present, easy, right, 610, 643, 1, 0.633
11, 1, 31, half, present, hard, left, 648, 685, 1, 1.419
11, 1, 32, half, absent, easy, left, NaN, NaN, -1, 1.536
11, 1, 33, half, absent, easy, left, NaN, NaN, -1, 0.862
11, 1, 34, half, absent, hard, right, NaN, NaN, -1, 2.519
11, 1, 35, half, present, hard, left, 626, 574, 1, 1.305
11, 1, 36, half, absent, easy, left, NaN, NaN, -1, 1.674
11, 1, 37, half, absent, hard, left, NaN, NaN, -1, 1.297
11, 1, 38, half, absent, easy, right, NaN, NaN, -1, 1.201
11, 1, 39, half, present, easy, left, 278, 670, 1, 0.837
11, 1, 40, half, absent, easy, right, NaN, NaN, -1, 0.874
11, 1, 41, half, absent, hard, left, NaN, NaN, -1, 0.869
11, 1, 42, half, absent, hard, right, NaN, NaN, -1, 1.394
11, 1, 43, half, present, easy, left, 114, 574, 1, 0.733
11, 1, 44, half, absent, easy, left, NaN, NaN, -1, 1.446
11, 1, 45, half, absent, hard, left, NaN, NaN, -1, 2.555
11, 1, 46, half, present, easy, right, 945, 248, 1, 0.736
11, 1, 47, half, present, easy, right, 813, 493, 1, 0.672
11, 1, 48, half, present, easy, right, 844, 421, 1, 0.651
11, 1, 49, half, absent, hard, left, NaN, NaN, -1, 0.704
11, 1, 50, half, present, hard, right, 88, 78, -1, 0.833
11, 1, 51, half, absent, easy, right, NaN, NaN, -1, 1.619
11, 1, 52, half, present, hard, right, 310, 104, 1, 0.889
11, 1, 53, half, absent, easy, left, NaN, NaN, -1, 1.258
11, 1, 54, half, present, easy, right, 900, 528, 1, 0.678
11, 1, 55, half, absent, easy, right, NaN, NaN, -1, 0.764
11, 1, 56, half, absent, easy, left, NaN, NaN, -1, 1.427
11, 1, 57, half, present, easy, right, 578, 679, 1, 0.647
11, 1, 58, half, absent, easy, left, NaN, NaN, -1, 0.939
11, 1, 59, half, present, hard, left, 635, 194, 1, 1.014
11, 1, 60, half, absent, easy, left, NaN, NaN, -1, 1.151
11, 1, 61, half, present, hard, left, 589, 418, 1, 0.952
11, 1, 62, half, absent, hard, right, NaN, NaN, -1, 0.975
11, 1, 63, half, present, easy, left, 409, 305, 1, 0.643
11, 1, 64, half, present, hard, right, 289, 102, 1, 1.986
11, 1, 65, half, absent, hard, right, NaN, NaN, -1, 1.047
11, 1, 66, half, present, easy, right, 719, 68, 1, 0.607
11, 1, 67, half, absent, easy, right, NaN, NaN, -1, 0.628
11, 1, 68, half, present, easy, left, 129, 542, 1, 0.664
11, 1, 69, half, present, easy, left, 310, 104, 1, 0.720
11, 1, 70, half, present, hard, left, 926, 208, 1, 1.485
11, 1, 71, half, absent, hard, right, NaN, NaN, -1, 1.669
11, 1, 72, half, present, easy, right, 752, 392, 1, 0.769
11, 1, 73, half, present, hard, right, 328, 187, 1, 0.763
11, 1, 74, half, present, hard, left, 875, 369, -1, 1.440
11, 1, 75, half, present, easy, left, 95, 511, 1, 0.881
11, 1, 76, half, absent, easy, right, NaN, NaN, -1, 1.609
11, 1, 77, half, present, hard, left, 690, 703, 1, 1.115
11, 1, 78, half, absent, hard, left, NaN, NaN, -1, 2.268
11, 1, 79, half, present, easy, left, 73, 347, 1, 0.823
11, 1, 80, half, present, hard, left, 945, 248, 1, 1.754
