condition	 subNum	 trialNo	 fixNo	 xFix	 xFixFlip	 yFix	 targSide	 easySide	 accuracy	 RT
tex	 1	 17	 1	 948	 -12	 553	 hard	 right	 1	 1.401
tex	 1	 17	 2	 862	 -98	 561	 hard	 right	 1	 1.401
tex	 1	 17	 3	 613	 -347	 488	 hard	 right	 1	 1.401
tex	 1	 17	 4	 617	 -343	 433	 hard	 right	 1	 1.401
tex	 1	 18	 1	 959	 -1	 553	 hard	 right	 1	 2.495
tex	 1	 18	 2	 835	 -125	 530	 hard	 right	 1	 2.495
tex	 1	 18	 3	 521	 -439	 582	 hard	 right	 1	 2.495
tex	 1	 18	 4	 803	 -157	 636	 hard	 right	 1	 2.495
tex	 1	 18	 5	 873	 -87	 741	 hard	 right	 1	 2.495
tex	 1	 18	 6	 766	 -194	 695	 hard	 right	 1	 2.495
tex	 1	 18	 7	 853	 -107	 705	 hard	 right	 1	 2.495
tex	 1	 18	 8	 832	 -128	 763	 hard	 right	 1	 2.495
tex	 1	 18	 9	 779	 -181	 749	 hard	 right	 1	 2.495
tex	 1	 19	 1	 940	 -20	 550	 easy	 right	 1	 0.892
tex	 1	 19	 2	 898	 -62	 573	 easy	 right	 1	 0.892
tex	 1	 19	 3	 1202	 242	 325	 easy	 right	 1	 0.892
tex	 1	 19	 4	 1219	 259	 302	 easy	 right	 1	 0.892
tex	 1	 20	 1	 962	 2	 533	 hard	 right	 1	 2.508
tex	 1	 20	 2	 896	 -64	 552	 hard	 right	 1	 2.508
tex	 1	 20	 3	 1085	 125	 408	 hard	 right	 1	 2.508
tex	 1	 20	 4	 977	 17	 426	 hard	 right	 1	 2.508
tex	 1	 20	 5	 1195	 235	 500	 hard	 right	 1	 2.508
tex	 1	 20	 6	 819	 -141	 647	 hard	 right	 1	 2.508
tex	 1	 20	 7	 681	 -279	 688	 hard	 right	 1	 2.508
tex	 1	 20	 8	 554	 -406	 493	 hard	 right	 1	 2.508
tex	 1	 20	 9	 736	 -224	 709	 hard	 right	 1	 2.508
tex	 1	 20	 10	 519	 -441	 553	 hard	 right	 1	 2.508
tex	 1	 20	 11	 516	 -444	 611	 hard	 right	 1	 2.508
tex	 1	 20	 12	 522	 -438	 589	 hard	 right	 1	 2.508
tex	 1	 21	 1	 950	 -10	 559	 hard	 right	 1	 2.017
tex	 1	 21	 2	 858	 -102	 535	 hard	 right	 1	 2.017
tex	 1	 21	 3	 898	 -62	 595	 hard	 right	 1	 2.017
tex	 1	 21	 4	 942	 -18	 461	 hard	 right	 1	 2.017
tex	 1	 21	 5	 523	 -437	 399	 hard	 right	 1	 2.017
tex	 1	 21	 6	 635	 -325	 602	 hard	 right	 1	 2.017
tex	 1	 21	 7	 584	 -376	 682	 hard	 right	 1	 2.017
tex	 1	 21	 8	 522	 -438	 735	 hard	 right	 1	 2.017
tex	 1	 21	 9	 519	 -441	 721	 hard	 right	 1	 2.017
tex	 1	 22	 1	 942	 18	 542	 easy	 left	 1	 0.664
tex	 1	 22	 2	 872	 88	 627	 easy	 left	 1	 0.664
tex	 1	 22	 3	 882	 78	 625	 easy	 left	 1	 0.664
tex	 1	 23	 1	 943	 17	 544	 hard	 left	 1	 4.110
tex	 1	 23	 2	 1133	 -173	 618	 hard	 left	 1	 4.110
tex	 1	 23	 3	 1086	 -126	 343	 hard	 left	 1	 4.110
tex	 1	 23	 4	 1243	 -283	 617	 hard	 left	 1	 4.110
tex	 1	 23	 5	 1075	 -115	 814	 hard	 left	 1	 4.110
tex	 1	 23	 6	 541	 419	 801	 hard	 left	 1	 4.110
tex	 1	 23	 7	 1103	 -143	 789	 hard	 left	 1	 4.110
tex	 1	 23	 8	 1065	 -105	 757	 hard	 left	 1	 4.110
tex	 1	 23	 9	 1045	 -85	 837	 hard	 left	 1	 4.110
tex	 1	 23	 10	 1287	 -327	 912	 hard	 left	 1	 4.110
tex	 1	 23	 11	 1116	 -156	 527	 hard	 left	 1	 4.110
tex	 1	 23	 12	 1067	 -107	 547	 hard	 left	 1	 4.110
tex	 1	 23	 13	 1392	 -432	 239	 hard	 left	 1	 4.110
tex	 1	 23	 14	 1285	 -325	 282	 hard	 left	 1	 4.110
tex	 1	 23	 15	 1048	 -88	 310	 hard	 left	 1	 4.110
tex	 1	 23	 16	 987	 -27	 359	 hard	 left	 1	 4.110
tex	 1	 24	 1	 936	 24	 539	 easy	 left	 1	 1.049
tex	 1	 24	 2	 684	 276	 463	 easy	 left	 1	 1.049
tex	 1	 24	 3	 560	 400	 358	 easy	 left	 1	 1.049
tex	 1	 25	 1	 744	 -216	 447	 easy	 right	 1	 3.490
tex	 1	 25	 2	 668	 -292	 492	 easy	 right	 1	 3.490
tex	 1	 25	 3	 560	 -400	 414	 easy	 right	 1	 3.490
tex	 1	 25	 4	 876	 -84	 559	 easy	 right	 1	 3.490
tex	 1	 25	 5	 1035	 75	 711	 easy	 right	 1	 3.490
tex	 1	 25	 6	 660	 -300	 700	 easy	 right	 1	 3.490
tex	 1	 25	 7	 873	 -87	 908	 easy	 right	 1	 3.490
tex	 1	 25	 8	 1352	 392	 944	 easy	 right	 1	 3.490
tex	 1	 25	 9	 1186	 226	 342	 easy	 right	 1	 3.490
tex	 1	 25	 10	 1270	 310	 685	 easy	 right	 1	 3.490
tex	 1	 25	 11	 1371	 411	 847	 easy	 right	 1	 3.490
tex	 1	 25	 12	 1347	 387	 783	 easy	 right	 1	 3.490
tex	 1	 25	 13	 566	 -394	 261	 easy	 right	 1	 3.490
tex	 1	 25	 14	 580	 -380	 381	 easy	 right	 1	 3.490
tex	 1	 26	 1	 950	 10	 546	 hard	 left	 1	 0.611
tex	 1	 26	 2	 895	 65	 537	 hard	 left	 1	 0.611
tex	 1	 26	 3	 1073	 -113	 596	 hard	 left	 1	 0.611
tex	 1	 26	 4	 1032	 -72	 595	 hard	 left	 1	 0.611
tex	 1	 27	 1	 935	 -25	 545	 easy	 right	 0	 3.963
tex	 1	 27	 2	 899	 -61	 586	 easy	 right	 0	 3.963
tex	 1	 27	 3	 1024	 64	 588	 easy	 right	 0	 3.963
tex	 1	 27	 4	 596	 -364	 478	 easy	 right	 0	 3.963
tex	 1	 27	 5	 554	 -406	 325	 easy	 right	 0	 3.963
tex	 1	 27	 6	 874	 -86	 873	 easy	 right	 0	 3.963
tex	 1	 27	 7	 674	 -286	 911	 easy	 right	 0	 3.963
tex	 1	 27	 8	 927	 -33	 935	 easy	 right	 0	 3.963
tex	 1	 27	 9	 1304	 344	 899	 easy	 right	 0	 3.963
tex	 1	 27	 10	 1393	 433	 571	 easy	 right	 0	 3.963
tex	 1	 27	 11	 1203	 243	 533	 easy	 right	 0	 3.963
tex	 1	 27	 12	 1128	 168	 558	 easy	 right	 0	 3.963
tex	 1	 27	 13	 1111	 151	 697	 easy	 right	 0	 3.963
tex	 1	 27	 14	 1124	 164	 670	 easy	 right	 0	 3.963
tex	 1	 28	 1	 957	 3	 541	 hard	 left	 1	 1.858
tex	 1	 28	 2	 914	 46	 532	 hard	 left	 1	 1.858
tex	 1	 28	 3	 976	 -16	 597	 hard	 left	 1	 1.858
tex	 1	 28	 4	 654	 306	 417	 hard	 left	 1	 1.858
tex	 1	 28	 5	 1047	 -87	 474	 hard	 left	 1	 1.858
tex	 1	 28	 6	 1014	 -54	 492	 hard	 left	 1	 1.858
tex	 1	 28	 7	 1366	 -406	 499	 hard	 left	 1	 1.858
tex	 1	 28	 8	 1368	 -408	 484	 hard	 left	 1	 1.858
tex	 1	 29	 1	 948	 12	 543	 hard	 left	 1	 5.725
tex	 1	 29	 2	 1103	 -143	 519	 hard	 left	 1	 5.725
tex	 1	 29	 3	 1004	 -44	 518	 hard	 left	 1	 5.725
tex	 1	 29	 4	 976	 -16	 482	 hard	 left	 1	 5.725
tex	 1	 29	 5	 524	 436	 517	 hard	 left	 1	 5.725
tex	 1	 29	 6	 506	 454	 603	 hard	 left	 1	 5.725
tex	 1	 29	 7	 454	 506	 921	 hard	 left	 1	 5.725
tex	 1	 29	 8	 461	 499	 895	 hard	 left	 1	 5.725
tex	 1	 29	 9	 842	 118	 920	 hard	 left	 1	 5.725
tex	 1	 29	 10	 798	 162	 916	 hard	 left	 1	 5.725
tex	 1	 29	 11	 1043	 -83	 876	 hard	 left	 1	 5.725
tex	 1	 29	 12	 977	 -17	 847	 hard	 left	 1	 5.725
tex	 1	 29	 13	 1262	 -302	 953	 hard	 left	 1	 5.725
tex	 1	 29	 14	 1217	 -257	 936	 hard	 left	 1	 5.725
tex	 1	 29	 15	 1091	 -131	 953	 hard	 left	 1	 5.725
tex	 1	 29	 16	 1274	 -314	 737	 hard	 left	 1	 5.725
tex	 1	 29	 17	 1207	 -247	 723	 hard	 left	 1	 5.725
tex	 1	 29	 18	 1338	 -378	 614	 hard	 left	 1	 5.725
tex	 1	 29	 19	 1099	 -139	 441	 hard	 left	 1	 5.725
tex	 1	 29	 20	 1105	 -145	 294	 hard	 left	 1	 5.725
tex	 1	 29	 21	 623	 337	 262	 hard	 left	 1	 5.725
tex	 1	 29	 22	 532	 428	 295	 hard	 left	 1	 5.725
tex	 1	 29	 23	 932	 28	 238	 hard	 left	 1	 5.725
tex	 1	 29	 24	 808	 152	 206	 hard	 left	 1	 5.725
tex	 1	 30	 1	 955	 -5	 536	 easy	 right	 1	 0.621
tex	 1	 30	 2	 903	 -57	 522	 easy	 right	 1	 0.621
tex	 1	 30	 3	 1019	 59	 576	 easy	 right	 1	 0.621
tex	 1	 30	 4	 1016	 56	 563	 easy	 right	 1	 0.621
tex	 1	 31	 1	 953	 7	 527	 easy	 left	 1	 6.032
tex	 1	 31	 2	 1026	 -66	 494	 easy	 left	 1	 6.032
tex	 1	 31	 3	 840	 120	 534	 easy	 left	 1	 6.032
tex	 1	 31	 4	 749	 211	 663	 easy	 left	 1	 6.032
tex	 1	 31	 5	 535	 425	 594	 easy	 left	 1	 6.032
tex	 1	 31	 6	 1008	 -48	 677	 easy	 left	 1	 6.032
tex	 1	 31	 7	 1273	 -313	 670	 easy	 left	 1	 6.032
tex	 1	 31	 8	 1441	 -481	 677	 easy	 left	 1	 6.032
tex	 1	 31	 9	 1473	 -513	 641	 easy	 left	 1	 6.032
tex	 1	 31	 10	 1026	 -66	 308	 easy	 left	 1	 6.032
tex	 1	 31	 11	 1013	 -53	 386	 easy	 left	 1	 6.032
tex	 1	 31	 12	 1024	 -64	 570	 easy	 left	 1	 6.032
tex	 1	 31	 13	 710	 250	 818	 easy	 left	 1	 6.032
tex	 1	 31	 14	 566	 394	 848	 easy	 left	 1	 6.032
tex	 1	 31	 15	 547	 413	 844	 easy	 left	 1	 6.032
tex	 1	 31	 16	 1056	 -96	 922	 easy	 left	 1	 6.032
tex	 1	 31	 17	 1174	 -214	 899	 easy	 left	 1	 6.032
tex	 1	 31	 18	 1306	 -346	 833	 easy	 left	 1	 6.032
tex	 1	 31	 19	 1300	 -340	 311	 easy	 left	 1	 6.032
tex	 1	 31	 20	 740	 220	 196	 easy	 left	 1	 6.032
tex	 1	 31	 21	 1097	 -137	 196	 easy	 left	 1	 6.032
tex	 1	 31	 22	 1073	 -113	 196	 easy	 left	 1	 6.032
tex	 1	 31	 23	 971	 -11	 267	 easy	 left	 1	 6.032
tex	 1	 32	 1	 954	 -6	 537	 hard	 right	 1	 8.461
tex	 1	 32	 2	 857	 -103	 606	 hard	 right	 1	 8.461
tex	 1	 32	 3	 1120	 160	 766	 hard	 right	 1	 8.461
tex	 1	 32	 4	 973	 13	 741	 hard	 right	 1	 8.461
tex	 1	 32	 5	 514	 -446	 590	 hard	 right	 1	 8.461
tex	 1	 32	 6	 594	 -366	 643	 hard	 right	 1	 8.461
tex	 1	 32	 7	 539	 -421	 639	 hard	 right	 1	 8.461
tex	 1	 32	 8	 462	 -498	 399	 hard	 right	 1	 8.461
tex	 1	 32	 9	 933	 -27	 286	 hard	 right	 1	 8.461
tex	 1	 32	 10	 828	 -132	 271	 hard	 right	 1	 8.461
tex	 1	 32	 11	 756	 -204	 376	 hard	 right	 1	 8.461
tex	 1	 32	 12	 515	 -445	 300	 hard	 right	 1	 8.461
tex	 1	 32	 13	 545	 -415	 356	 hard	 right	 1	 8.461
tex	 1	 32	 14	 707	 -253	 564	 hard	 right	 1	 8.461
tex	 1	 32	 15	 678	 -282	 556	 hard	 right	 1	 8.461
tex	 1	 32	 16	 888	 -72	 700	 hard	 right	 1	 8.461
tex	 1	 32	 17	 1119	 159	 800	 hard	 right	 1	 8.461
tex	 1	 32	 18	 841	 -119	 870	 hard	 right	 1	 8.461
tex	 1	 32	 19	 654	 -306	 893	 hard	 right	 1	 8.461
tex	 1	 32	 20	 1386	 426	 927	 hard	 right	 1	 8.461
tex	 1	 32	 21	 1406	 446	 513	 hard	 right	 1	 8.461
tex	 1	 32	 22	 1250	 290	 474	 hard	 right	 1	 8.461
tex	 1	 32	 23	 1004	 44	 265	 hard	 right	 1	 8.461
tex	 1	 32	 24	 1062	 102	 343	 hard	 right	 1	 8.461
tex	 1	 32	 25	 599	 -361	 259	 hard	 right	 1	 8.461
tex	 1	 32	 26	 752	 -208	 349	 hard	 right	 1	 8.461
tex	 1	 32	 27	 889	 -71	 493	 hard	 right	 1	 8.461
tex	 1	 32	 28	 852	 -108	 460	 hard	 right	 1	 8.461
tex	 1	 32	 29	 1204	 244	 451	 hard	 right	 1	 8.461
tex	 1	 32	 30	 1111	 151	 461	 hard	 right	 1	 8.461
tex	 1	 32	 31	 959	 -1	 783	 hard	 right	 1	 8.461
tex	 1	 32	 32	 597	 -363	 907	 hard	 right	 1	 8.461
tex	 1	 32	 33	 857	 -103	 941	 hard	 right	 1	 8.461
tex	 1	 33	 1	 956	 4	 562	 hard	 left	 1	 4.466
tex	 1	 33	 2	 1051	 -91	 448	 hard	 left	 1	 4.466
tex	 1	 33	 3	 1086	 -126	 316	 hard	 left	 1	 4.466
tex	 1	 33	 4	 492	 468	 585	 hard	 left	 1	 4.466
tex	 1	 33	 5	 443	 517	 532	 hard	 left	 1	 4.466
tex	 1	 33	 6	 963	 -3	 728	 hard	 left	 1	 4.466
tex	 1	 33	 7	 1167	 -207	 919	 hard	 left	 1	 4.466
tex	 1	 33	 8	 1164	 -204	 785	 hard	 left	 1	 4.466
tex	 1	 33	 9	 1095	 -135	 691	 hard	 left	 1	 4.466
tex	 1	 33	 10	 1035	 -75	 673	 hard	 left	 1	 4.466
tex	 1	 33	 11	 1042	 -82	 699	 hard	 left	 1	 4.466
tex	 1	 33	 12	 499	 461	 845	 hard	 left	 1	 4.466
tex	 1	 33	 13	 644	 316	 910	 hard	 left	 1	 4.466
tex	 1	 33	 14	 828	 132	 275	 hard	 left	 1	 4.466
tex	 1	 33	 15	 735	 225	 296	 hard	 left	 1	 4.466
tex	 1	 33	 16	 645	 315	 258	 hard	 left	 1	 4.466
tex	 1	 33	 17	 1125	 -165	 376	 hard	 left	 1	 4.466
tex	 1	 34	 1	 944	 -16	 535	 hard	 right	 1	 4.770
tex	 1	 34	 2	 874	 -86	 523	 hard	 right	 1	 4.770
tex	 1	 34	 3	 796	 -164	 497	 hard	 right	 1	 4.770
tex	 1	 34	 4	 500	 -460	 616	 hard	 right	 1	 4.770
tex	 1	 34	 5	 503	 -457	 755	 hard	 right	 1	 4.770
tex	 1	 34	 6	 506	 -454	 866	 hard	 right	 1	 4.770
tex	 1	 34	 7	 520	 -440	 851	 hard	 right	 1	 4.770
tex	 1	 34	 8	 1001	 41	 831	 hard	 right	 1	 4.770
tex	 1	 34	 9	 1293	 333	 849	 hard	 right	 1	 4.770
tex	 1	 34	 10	 1448	 488	 838	 hard	 right	 1	 4.770
tex	 1	 34	 11	 938	 -22	 847	 hard	 right	 1	 4.770
tex	 1	 34	 12	 912	 -48	 377	 hard	 right	 1	 4.770
tex	 1	 34	 13	 756	 -204	 346	 hard	 right	 1	 4.770
tex	 1	 34	 14	 725	 -235	 436	 hard	 right	 1	 4.770
tex	 1	 34	 15	 658	 -302	 484	 hard	 right	 1	 4.770
tex	 1	 34	 16	 465	 -495	 221	 hard	 right	 1	 4.770
tex	 1	 34	 17	 1205	 245	 411	 hard	 right	 1	 4.770
tex	 1	 34	 18	 1099	 139	 461	 hard	 right	 1	 4.770
tex	 1	 35	 1	 952	 -8	 546	 hard	 right	 1	 4.832
tex	 1	 35	 2	 846	 -114	 528	 hard	 right	 1	 4.832
tex	 1	 35	 3	 1026	 66	 833	 hard	 right	 1	 4.832
tex	 1	 35	 4	 1099	 139	 815	 hard	 right	 1	 4.832
tex	 1	 35	 5	 732	 -228	 739	 hard	 right	 1	 4.832
tex	 1	 35	 6	 1023	 63	 829	 hard	 right	 1	 4.832
tex	 1	 35	 7	 1053	 93	 852	 hard	 right	 1	 4.832
tex	 1	 35	 8	 988	 28	 774	 hard	 right	 1	 4.832
tex	 1	 35	 9	 661	 -299	 753	 hard	 right	 1	 4.832
tex	 1	 35	 10	 600	 -360	 442	 hard	 right	 1	 4.832
tex	 1	 35	 11	 981	 21	 251	 hard	 right	 1	 4.832
tex	 1	 35	 12	 939	 -21	 357	 hard	 right	 1	 4.832
tex	 1	 35	 13	 909	 -51	 364	 hard	 right	 1	 4.832
tex	 1	 35	 14	 879	 -81	 370	 hard	 right	 1	 4.832
tex	 1	 35	 15	 584	 -376	 403	 hard	 right	 1	 4.832
tex	 1	 35	 16	 650	 -310	 602	 hard	 right	 1	 4.832
tex	 1	 35	 17	 557	 -403	 262	 hard	 right	 1	 4.832
tex	 1	 36	 1	 953	 -7	 549	 hard	 right	 1	 6.290
tex	 1	 36	 2	 817	 -143	 614	 hard	 right	 1	 6.290
tex	 1	 36	 3	 560	 -400	 531	 hard	 right	 1	 6.290
tex	 1	 36	 4	 844	 -116	 747	 hard	 right	 1	 6.290
tex	 1	 36	 5	 1257	 297	 885	 hard	 right	 1	 6.290
tex	 1	 36	 6	 1003	 43	 875	 hard	 right	 1	 6.290
tex	 1	 36	 7	 870	 -90	 701	 hard	 right	 1	 6.290
tex	 1	 36	 8	 707	 -253	 948	 hard	 right	 1	 6.290
tex	 1	 36	 9	 479	 -481	 925	 hard	 right	 1	 6.290
tex	 1	 36	 10	 854	 -106	 719	 hard	 right	 1	 6.290
tex	 1	 36	 11	 770	 -190	 727	 hard	 right	 1	 6.290
tex	 1	 36	 12	 1154	 194	 694	 hard	 right	 1	 6.290
tex	 1	 36	 13	 1169	 209	 346	 hard	 right	 1	 6.290
tex	 1	 36	 14	 1006	 46	 438	 hard	 right	 1	 6.290
tex	 1	 36	 15	 775	 -185	 423	 hard	 right	 1	 6.290
tex	 1	 36	 16	 822	 -138	 482	 hard	 right	 1	 6.290
tex	 1	 36	 17	 638	 -322	 430	 hard	 right	 1	 6.290
tex	 1	 36	 18	 570	 -390	 362	 hard	 right	 1	 6.290
tex	 1	 36	 19	 531	 -429	 326	 hard	 right	 1	 6.290
tex	 1	 36	 20	 488	 -472	 307	 hard	 right	 1	 6.290
tex	 1	 36	 21	 762	 -198	 337	 hard	 right	 1	 6.290
tex	 1	 36	 22	 670	 -290	 371	 hard	 right	 1	 6.290
tex	 1	 37	 1	 922	 -38	 519	 easy	 right	 1	 6.470
tex	 1	 37	 2	 841	 -119	 505	 easy	 right	 1	 6.470
tex	 1	 37	 3	 564	 -396	 557	 easy	 right	 1	 6.470
tex	 1	 37	 4	 610	 -350	 371	 easy	 right	 1	 6.470
tex	 1	 37	 5	 577	 -383	 601	 easy	 right	 1	 6.470
tex	 1	 37	 6	 1081	 121	 548	 easy	 right	 1	 6.470
tex	 1	 37	 7	 970	 10	 584	 easy	 right	 1	 6.470
tex	 1	 37	 8	 937	 -23	 551	 easy	 right	 1	 6.470
tex	 1	 37	 9	 944	 -16	 655	 easy	 right	 1	 6.470
tex	 1	 37	 10	 1077	 117	 645	 easy	 right	 1	 6.470
tex	 1	 37	 11	 875	 -85	 610	 easy	 right	 1	 6.470
tex	 1	 37	 12	 719	 -241	 580	 easy	 right	 1	 6.470
tex	 1	 37	 13	 773	 -187	 640	 easy	 right	 1	 6.470
tex	 1	 37	 14	 938	 -22	 560	 easy	 right	 1	 6.470
tex	 1	 37	 15	 1281	 321	 659	 easy	 right	 1	 6.470
tex	 1	 37	 16	 1146	 186	 672	 easy	 right	 1	 6.470
tex	 1	 37	 17	 1047	 87	 794	 easy	 right	 1	 6.470
tex	 1	 37	 18	 823	 -137	 758	 easy	 right	 1	 6.470
tex	 1	 38	 1	 949	 -11	 560	 easy	 right	 1	 5.400
tex	 1	 38	 2	 848	 -112	 644	 easy	 right	 1	 5.400
tex	 1	 38	 3	 674	 -286	 555	 easy	 right	 1	 5.400
tex	 1	 38	 4	 576	 -384	 492	 easy	 right	 1	 5.400
tex	 1	 38	 5	 595	 -365	 279	 easy	 right	 1	 5.400
tex	 1	 38	 6	 1040	 80	 318	 easy	 right	 1	 5.400
tex	 1	 38	 7	 1158	 198	 555	 easy	 right	 1	 5.400
tex	 1	 38	 8	 1210	 250	 831	 easy	 right	 1	 5.400
tex	 1	 38	 9	 650	 -310	 891	 easy	 right	 1	 5.400
tex	 1	 38	 10	 1283	 323	 615	 easy	 right	 1	 5.400
tex	 1	 38	 11	 1240	 280	 605	 easy	 right	 1	 5.400
tex	 1	 38	 12	 744	 -216	 891	 easy	 right	 1	 5.400
tex	 1	 38	 13	 584	 -376	 897	 easy	 right	 1	 5.400
tex	 1	 38	 14	 481	 -479	 921	 easy	 right	 1	 5.400
tex	 1	 38	 15	 865	 -95	 418	 easy	 right	 1	 5.400
tex	 1	 38	 16	 730	 -230	 365	 easy	 right	 1	 5.400
tex	 1	 38	 17	 545	 -415	 273	 easy	 right	 1	 5.400
tex	 1	 38	 18	 857	 -103	 205	 easy	 right	 1	 5.400
tex	 1	 39	 1	 963	 -3	 512	 hard	 left	 1	 4.277
tex	 1	 39	 2	 804	 156	 525	 hard	 left	 1	 4.277
tex	 1	 39	 3	 516	 444	 563	 hard	 left	 1	 4.277
tex	 1	 39	 4	 1022	 -62	 594	 hard	 left	 1	 4.277
tex	 1	 39	 5	 1224	 -264	 783	 hard	 left	 1	 4.277
tex	 1	 39	 6	 1156	 -196	 886	 hard	 left	 1	 4.277
tex	 1	 39	 7	 1184	 -224	 923	 hard	 left	 1	 4.277
tex	 1	 39	 8	 1270	 -310	 360	 hard	 left	 1	 4.277
tex	 1	 39	 9	 1117	 -157	 322	 hard	 left	 1	 4.277
tex	 1	 39	 10	 1244	 -284	 426	 hard	 left	 1	 4.277
tex	 1	 39	 11	 1128	 -168	 998	 hard	 left	 1	 4.277
tex	 1	 39	 12	 1126	 -166	 913	 hard	 left	 1	 4.277
tex	 1	 39	 13	 1327	 -367	 939	 hard	 left	 1	 4.277
tex	 1	 39	 14	 1108	 -148	 866	 hard	 left	 1	 4.277
tex	 1	 39	 15	 644	 316	 380	 hard	 left	 1	 4.277
tex	 1	 39	 16	 588	 372	 352	 hard	 left	 1	 4.277
tex	 1	 39	 17	 544	 416	 643	 hard	 left	 1	 4.277
tex	 1	 40	 1	 950	 -10	 546	 hard	 right	 1	 1.381
tex	 1	 40	 2	 956	 -4	 545	 hard	 right	 1	 1.381
tex	 1	 40	 3	 872	 -88	 549	 hard	 right	 1	 1.381
tex	 1	 40	 4	 768	 -192	 473	 hard	 right	 1	 1.381
tex	 1	 40	 5	 507	 -453	 550	 hard	 right	 1	 1.381
tex	 1	 41	 1	 726	 234	 588	 easy	 left	 1	 0.687
tex	 1	 41	 2	 669	 291	 561	 easy	 left	 1	 0.687
tex	 1	 42	 1	 637	 -323	 563	 hard	 right	 1	 0.904
tex	 1	 42	 2	 743	 -217	 572	 hard	 right	 1	 0.904
tex	 1	 42	 3	 785	 -175	 369	 hard	 right	 1	 0.904
tex	 1	 42	 4	 765	 -195	 352	 hard	 right	 1	 0.904
tex	 1	 43	 1	 751	 209	 484	 hard	 left	 1	 4.660
tex	 1	 43	 2	 965	 -5	 501	 hard	 left	 1	 4.660
tex	 1	 43	 3	 1221	 -261	 521	 hard	 left	 1	 4.660
tex	 1	 43	 4	 1222	 -262	 471	 hard	 left	 1	 4.660
tex	 1	 43	 5	 1290	 -330	 794	 hard	 left	 1	 4.660
tex	 1	 43	 6	 1270	 -310	 723	 hard	 left	 1	 4.660
tex	 1	 43	 7	 1366	 -406	 964	 hard	 left	 1	 4.660
tex	 1	 43	 8	 1379	 -419	 945	 hard	 left	 1	 4.660
tex	 1	 43	 9	 592	 368	 913	 hard	 left	 1	 4.660
tex	 1	 43	 10	 452	 508	 913	 hard	 left	 1	 4.660
tex	 1	 43	 11	 579	 381	 404	 hard	 left	 1	 4.660
tex	 1	 43	 12	 749	 211	 578	 hard	 left	 1	 4.660
tex	 1	 43	 13	 552	 408	 470	 hard	 left	 1	 4.660
tex	 1	 43	 14	 469	 491	 454	 hard	 left	 1	 4.660
tex	 1	 43	 15	 1214	 -254	 292	 hard	 left	 1	 4.660
tex	 1	 43	 16	 1070	 -110	 277	 hard	 left	 1	 4.660
tex	 1	 43	 17	 1054	 -94	 296	 hard	 left	 1	 4.660
tex	 1	 44	 1	 948	 -12	 540	 hard	 right	 1	 3.620
tex	 1	 44	 2	 965	 5	 527	 hard	 right	 1	 3.620
tex	 1	 44	 3	 816	 -144	 607	 hard	 right	 1	 3.620
tex	 1	 44	 4	 497	 -463	 494	 hard	 right	 1	 3.620
tex	 1	 44	 5	 717	 -243	 797	 hard	 right	 1	 3.620
tex	 1	 44	 6	 1108	 148	 914	 hard	 right	 1	 3.620
tex	 1	 44	 7	 1192	 232	 889	 hard	 right	 1	 3.620
tex	 1	 44	 8	 1253	 293	 437	 hard	 right	 1	 3.620
tex	 1	 44	 9	 1089	 129	 361	 hard	 right	 1	 3.620
tex	 1	 44	 10	 796	 -164	 330	 hard	 right	 1	 3.620
tex	 1	 44	 11	 779	 -181	 542	 hard	 right	 1	 3.620
tex	 1	 44	 12	 801	 -159	 593	 hard	 right	 1	 3.620
tex	 1	 45	 1	 954	 6	 547	 easy	 left	 1	 3.573
tex	 1	 45	 2	 835	 125	 467	 easy	 left	 1	 3.573
tex	 1	 45	 3	 814	 146	 445	 easy	 left	 1	 3.573
tex	 1	 45	 4	 1110	 -150	 408	 easy	 left	 1	 3.573
tex	 1	 45	 5	 1026	 -66	 472	 easy	 left	 1	 3.573
tex	 1	 45	 6	 1391	 -431	 362	 easy	 left	 1	 3.573
tex	 1	 45	 7	 1421	 -461	 859	 easy	 left	 1	 3.573
tex	 1	 45	 8	 966	 -6	 836	 easy	 left	 1	 3.573
tex	 1	 45	 9	 949	 11	 672	 easy	 left	 1	 3.573
tex	 1	 45	 10	 1018	 -58	 551	 easy	 left	 1	 3.573
tex	 1	 45	 11	 617	 343	 578	 easy	 left	 1	 3.573
tex	 1	 45	 12	 1020	 -60	 697	 easy	 left	 1	 3.573
tex	 1	 45	 13	 637	 323	 202	 easy	 left	 1	 3.573
tex	 1	 45	 14	 942	 18	 150	 easy	 left	 1	 3.573
tex	 1	 46	 1	 948	 -12	 541	 easy	 right	 1	 0.655
tex	 1	 46	 2	 900	 -60	 531	 easy	 right	 1	 0.655
tex	 1	 46	 3	 994	 34	 774	 easy	 right	 1	 0.655
tex	 1	 46	 4	 1057	 97	 814	 easy	 right	 1	 0.655
tex	 1	 47	 1	 939	 21	 534	 hard	 left	 1	 1.462
tex	 1	 47	 2	 1026	 -66	 688	 hard	 left	 1	 1.462
tex	 1	 47	 3	 534	 426	 619	 hard	 left	 1	 1.462
tex	 1	 47	 4	 804	 156	 852	 hard	 left	 1	 1.462
tex	 1	 47	 5	 1076	 -116	 863	 hard	 left	 1	 1.462
tex	 1	 47	 6	 1097	 -137	 854	 hard	 left	 1	 1.462
tex	 1	 48	 1	 956	 4	 562	 easy	 left	 1	 4.208
