observer,cd,bk,t,n,hetero_fix,ts
d1,brief,block 2,125,2,0,1.2916666666666667
d1,brief,block 2,125,3,1,1.2916666666666667
d1,brief,block 2,125,4,1,1.2916666666666667
d1,brief,block 2,125,5,1,1.2916666666666667
d1,brief,block 2,125,6,0,1.2916666666666667
d1,brief,block 2,126,2,1,1.3020833333333333
d1,brief,block 2,126,3,0,1.3020833333333333
d1,brief,block 2,126,4,1,1.3020833333333333
d1,brief,block 2,126,5,1,1.3020833333333333
d1,brief,block 2,126,6,1,1.3020833333333333
d1,brief,block 2,127,2,1,1.3125
d1,brief,block 2,127,3,1,1.3125
d1,brief,block 2,127,4,1,1.3125
d1,brief,block 2,127,5,0,1.3125
d1,brief,block 2,127,6,0,1.3125
d1,brief,block 2,128,2,1,1.3229166666666667
d1,brief,block 2,128,3,0,1.3229166666666667
d1,brief,block 2,128,4,0,1.3229166666666667
d1,brief,block 2,128,5,1,1.3229166666666667
d1,brief,block 2,128,6,1,1.3229166666666667
d1,brief,block 2,129,2,0,1.3333333333333333
d1,brief,block 2,129,3,0,1.3333333333333333
d1,brief,block 2,129,4,1,1.3333333333333333
d1,brief,block 2,129,5,1,1.3333333333333333
d1,brief,block 2,129,6,0,1.3333333333333333
d1,brief,block 2,130,2,0,1.34375
d1,brief,block 2,130,3,1,1.34375
d1,brief,block 2,130,4,0,1.34375
d1,brief,block 2,130,5,0,1.34375
d1,brief,block 2,130,6,1,1.34375
d1,brief,block 2,131,2,0,1.3541666666666667
d1,brief,block 2,131,3,0,1.3541666666666667
d1,brief,block 2,131,4,0,1.3541666666666667
d1,brief,block 2,131,5,0,1.3541666666666667
d1,brief,block 2,131,6,1,1.3541666666666667
d1,brief,block 2,132,2,0,1.3645833333333333
d1,brief,block 2,132,3,0,1.3645833333333333
d1,brief,block 2,132,4,0,1.3645833333333333
d1,brief,block 2,133,2,1,1.375
d1,brief,block 2,133,3,1,1.375
d1,brief,block 2,133,4,0,1.375
d1,brief,block 2,134,2,1,1.3854166666666667
d1,brief,block 2,134,3,0,1.3854166666666667
d1,brief,block 2,134,4,0,1.3854166666666667
d1,brief,block 2,135,2,0,1.3958333333333333
