"subj","trialNum","fixNum","fixX","xFixFlip","targSide"
"170","1",32,19,654,-306,"absent"
"171","1",32,20,1386,426,"absent"
"172","1",32,21,1406,446,"absent"
"173","1",32,22,1250,290,"absent"
"174","1",32,23,1004,44,"absent"
"175","1",32,24,1062,102,"absent"
"176","1",32,25,599,-361,"absent"
"177","1",32,26,752,-208,"absent"
"178","1",32,27,889,-71,"absent"
"179","1",32,28,852,-108,"absent"
"180","1",32,29,1204,244,"absent"
"181","1",32,30,1111,151,"absent"
"182","1",32,31,959,-1,"absent"
"183","1",32,32,597,-363,"absent"
"184","1",32,33,857,-103,"absent"
"185","1",33,1,956,4,"absent"
"186","1",33,2,1051,-91,"absent"
"187","1",33,3,1086,-126,"absent"
"188","1",33,4,492,468,"absent"
"189","1",33,5,443,517,"absent"
"190","1",33,6,963,-3,"absent"
"191","1",33,7,1167,-207,"absent"
"192","1",33,8,1164,-204,"absent"
"193","1",33,9,1095,-135,"absent"
"194","1",33,10,1035,-75,"absent"
"195","1",33,11,1042,-82,"absent"
"196","1",33,12,499,461,"absent"
"197","1",33,13,644,316,"absent"
"198","1",33,14,828,132,"absent"
"199","1",33,15,735,225,"absent"
"200","1",33,16,645,315,"absent"
"201","1",33,17,1125,-165,"absent"
"202","1",34,1,944,-16,"absent"
"203","1",34,2,874,-86,"absent"
"204","1",34,3,796,-164,"absent"
"205","1",34,4,500,-460,"absent"
"206","1",34,5,503,-457,"absent"
"207","1",34,6,506,-454,"absent"
"208","1",34,7,520,-440,"absent"
"209","1",34,8,1001,41,"absent"
"210","1",34,9,1293,333,"absent"
"211","1",34,10,1448,488,"absent"
"212","1",34,11,938,-22,"absent"
"213","1",34,12,912,-48,"absent"
"214","1",34,13,756,-204,"absent"
"215","1",34,14,725,-235,"absent"
"216","1",34,15,658,-302,"absent"
"217","1",34,16,465,-495,"absent"
"218","1",34,17,1205,245,"absent"
"219","1",34,18,1099,139,"absent"
"220","1",35,1,952,-8,"absent"
"221","1",35,2,846,-114,"absent"
"222","1",35,3,1026,66,"absent"
"223","1",35,4,1099,139,"absent"
"224","1",35,5,732,-228,"absent"
"225","1",35,6,1023,63,"absent"
"226","1",35,7,1053,93,"absent"
"227","1",35,8,988,28,"absent"
"228","1",35,9,661,-299,"absent"
"229","1",35,10,600,-360,"absent"
"230","1",35,11,981,21,"absent"
"231","1",35,12,939,-21,"absent"
"232","1",35,13,909,-51,"absent"
"233","1",35,14,879,-81,"absent"
"234","1",35,15,584,-376,"absent"
"235","1",35,16,650,-310,"absent"
"236","1",35,17,557,-403,"absent"
"237","1",36,1,953,-7,"absent"
"238","1",36,2,817,-143,"absent"
"239","1",36,3,560,-400,"absent"
"240","1",36,4,844,-116,"absent"
"241","1",36,5,1257,297,"absent"
"242","1",36,6,1003,43,"absent"
"243","1",36,7,870,-90,"absent"
"244","1",36,8,707,-253,"absent"
"245","1",36,9,479,-481,"absent"
"246","1",36,10,854,-106,"absent"
"247","1",36,11,770,-190,"absent"
"248","1",36,12,1154,194,"absent"
"249","1",36,13,1169,209,"absent"
"250","1",36,14,1006,46,"absent"
"251","1",36,15,775,-185,"absent"
"252","1",36,16,822,-138,"absent"
"253","1",36,17,638,-322,"absent"
"254","1",36,18,570,-390,"absent"
"255","1",36,19,531,-429,"absent"
"256","1",36,20,488,-472,"absent"
"257","1",36,21,762,-198,"absent"
"258","1",36,22,670,-290,"absent"
"259","1",37,1,922,-38,"absent"
"260","1",37,2,841,-119,"absent"
"261","1",37,3,564,-396,"absent"
"262","1",37,4,610,-350,"absent"
"263","1",37,5,577,-383,"absent"
"264","1",37,6,1081,121,"absent"
"265","1",37,7,970,10,"absent"
"266","1",37,8,937,-23,"absent"
"267","1",37,9,944,-16,"absent"
"268","1",37,10,1077,117,"absent"
"269","1",37,11,875,-85,"absent"
"270","1",37,12,719,-241,"absent"
"271","1",37,13,773,-187,"absent"
"272","1",37,14,938,-22,"absent"
"273","1",37,15,1281,321,"absent"
"274","1",37,16,1146,186,"absent"
"275","1",37,17,1047,87,"absent"
"276","1",37,18,823,-137,"absent"
"277","1",38,1,949,-11,"absent"
"278","1",38,2,848,-112,"absent"
"279","1",38,3,674,-286,"absent"
"280","1",38,4,576,-384,"absent"
"281","1",38,5,595,-365,"absent"
"282","1",38,6,1040,80,"absent"
"283","1",38,7,1158,198,"absent"
"284","1",38,8,1210,250,"absent"
"285","1",38,9,650,-310,"absent"
"286","1",38,10,1283,323,"absent"
"287","1",38,11,1240,280,"absent"
"288","1",38,12,744,-216,"absent"
"289","1",38,13,584,-376,"absent"
"290","1",38,14,481,-479,"absent"
"291","1",38,15,865,-95,"absent"
"292","1",38,16,730,-230,"absent"
"293","1",38,17,545,-415,"absent"
"294","1",38,18,857,-103,"absent"
"295","1",39,1,963,-3,"absent"
"296","1",39,2,804,156,"absent"
"297","1",39,3,516,444,"absent"
"298","1",39,4,1022,-62,"absent"
"299","1",39,5,1224,-264,"absent"
"300","1",39,6,1156,-196,"absent"
"301","1",39,7,1184,-224,"absent"
"302","1",39,8,1270,-310,"absent"
"303","1",39,9,1117,-157,"absent"
"304","1",39,10,1244,-284,"absent"
"305","1",39,11,1128,-168,"absent"
"306","1",39,12,1126,-166,"absent"
"307","1",39,13,1327,-367,"absent"
"308","1",39,14,1108,-148,"absent"
"309","1",39,15,644,316,"absent"
"310","1",39,16,588,372,"absent"
"311","1",39,17,544,416,"absent"
"312","1",40,1,950,-10," hard"
"313","1",40,2,956,-4," hard"
"314","1",40,3,872,-88," hard"
"315","1",40,4,768,-192," hard"
"316","1",40,5,507,-453," hard"
"317","1",41,1,726,234," easy"
"318","1",41,2,669,291," easy"
"319","1",42,1,637,-323," hard"
"320","1",42,2,743,-217," hard"
"321","1",42,3,785,-175," hard"
"322","1",42,4,765,-195," hard"
"323","1",43,1,751,209,"absent"
"324","1",43,2,965,-5,"absent"
"325","1",43,3,1221,-261,"absent"
"326","1",43,4,1222,-262,"absent"
"327","1",43,5,1290,-330,"absent"
"328","1",43,6,1270,-310,"absent"
"329","1",43,7,1366,-406,"absent"
"330","1",43,8,1379,-419,"absent"
"331","1",43,9,592,368,"absent"
"332","1",43,10,452,508,"absent"
"333","1",43,11,579,381,"absent"
"334","1",43,12,749,211,"absent"
"335","1",43,13,552,408,"absent"
"336","1",43,14,469,491,"absent"
"337","1",43,15,1214,-254,"absent"
"338","1",43,16,1070,-110,"absent"
"339","1",43,17,1054,-94,"absent"
"340","1",44,1,948,-12,"absent"
"341","1",44,2,965,5,"absent"
"342","1",44,3,816,-144,"absent"
"343","1",44,4,497,-463,"absent"
"344","1",44,5,717,-243,"absent"
"345","1",44,6,1108,148,"absent"
"346","1",44,7,1192,232,"absent"
"347","1",44,8,1253,293,"absent"
"348","1",44,9,1089,129,"absent"
"349","1",44,10,796,-164,"absent"
"350","1",44,11,779,-181,"absent"
"351","1",44,12,801,-159,"absent"
"352","1",45,1,954,6,"absent"
"353","1",45,2,835,125,"absent"
"354","1",45,3,814,146,"absent"
"355","1",45,4,1110,-150,"absent"
"356","1",45,5,1026,-66,"absent"
"357","1",45,6,1391,-431,"absent"
"358","1",45,7,1421,-461,"absent"
"359","1",45,8,966,-6,"absent"
"360","1",45,9,949,11,"absent"
"361","1",45,10,1018,-58,"absent"
"362","1",45,11,617,343,"absent"
"363","1",45,12,1020,-60,"absent"
"364","1",45,13,637,323,"absent"
"365","1",45,14,942,18,"absent"
"366","1",46,1,948,-12," easy"
"367","1",46,2,900,-60," easy"
"368","1",46,3,994,34," easy"
"369","1",46,4,1057,97," easy"
"370","1",47,1,939,21," hard"
"371","1",47,2,1026,-66," hard"
"372","1",47,3,534,426," hard"
"373","1",47,4,804,156," hard"
"374","1",47,5,1076,-116," hard"
"375","1",47,6,1097,-137," hard"
"376","1",48,1,956,4,"absent"
"377","1",48,2,1044,-84,"absent"
"378","1",48,3,1178,-218,"absent"
"379","1",48,4,1117,-157,"absent"
"380","1",48,5,1089,-129,"absent"
"381","1",48,6,1412,-452,"absent"
"382","1",48,7,1277,-317,"absent"
"383","1",48,8,607,353,"absent"
"384","1",48,9,504,456,"absent"
"385","1",48,10,660,300,"absent"
"386","1",48,11,908,52,"absent"
"387","1",48,12,513,447,"absent"
"388","1",48,13,995,-35,"absent"
"389","1",48,14,1298,-338,"absent"
"390","1",48,15,1006,-46,"absent"
"391","1",48,16,1090,-130,"absent"
"392","1",49,1,948,12,"absent"
"393","1",50,1,952,-8,"absent"
"394","1",50,2,879,-81,"absent"
"395","1",50,3,529,-431,"absent"
"396","1",50,4,721,-239,"absent"
"397","1",50,5,804,-156,"absent"
"398","1",50,6,898,-62,"absent"
"399","1",50,7,796,-164,"absent"
"400","1",50,8,809,-151,"absent"
"401","1",50,9,659,-301,"absent"
"402","1",50,10,815,-145,"absent"
"403","1",50,11,650,-310,"absent"
"404","1",50,12,1082,122,"absent"
"405","1",50,13,969,9,"absent"
"406","1",50,14,1275,315,"absent"
"407","1",50,15,966,6,"absent"
"408","1",50,16,616,-344,"absent"
"409","1",50,17,511,-449,"absent"
"410","1",50,18,461,-499,"absent"
"411","1",50,19,495,-465,"absent"
"412","1",50,20,559,-401,"absent"
"413","1",50,21,468,-492,"absent"
"414","1",50,22,809,-151,"absent"
"415","1",51,1,938,22," hard"
"416","1",51,2,829,131," hard"
"417","1",51,3,1016,-56," hard"
"418","1",51,4,1076,-116," hard"
"419","1",51,5,1070,-110," hard"
"420","1",52,1,945,15,"absent"
"421","1",52,2,951,9,"absent"
"422","1",52,3,1007,-47,"absent"
"423","1",52,4,738,222,"absent"
"424","1",52,5,1115,-155,"absent"
"425","1",52,6,922,38,"absent"
"426","1",52,7,823,137,"absent"
"427","1",52,8,668,292,"absent"
"428","1",52,9,1003,-43,"absent"
"429","1",52,10,1258,-298,"absent"
"430","1",52,11,1146,-186,"absent"
"431","1",52,12,1099,-139,"absent"
"432","1",53,1,879,81,"absent"
"433","1",53,2,932,28,"absent"
"434","1",53,3,1037,-77,"absent"
"435","1",53,4,1015,-55,"absent"
"436","1",53,5,1055,-95,"absent"
"437","1",53,6,1322,-362,"absent"
"438","1",53,7,1410,-450,"absent"
"439","1",53,8,1310,-350,"absent"
"440","1",53,9,587,373,"absent"
"441","1",53,10,466,494,"absent"
"442","1",53,11,997,-37,"absent"
"443","1",53,12,1014,-54,"absent"
"444","1",53,13,1144,-184,"absent"
"445","1",53,14,1077,-117,"absent"
"446","1",54,1,938,-22,"absent"
"447","1",54,2,803,-157,"absent"
"448","1",54,3,722,-238,"absent"
"449","1",54,4,577,-383,"absent"
"450","1",54,5,723,-237,"absent"
"451","1",54,6,715,-245,"absent"
"452","1",54,7,705,-255,"absent"
"453","1",54,8,725,-235,"absent"
"454","1",54,9,592,-368,"absent"
"455","1",54,10,1013,53,"absent"
"456","1",54,11,1300,340,"absent"
"457","1",54,12,971,11,"absent"
"458","1",54,13,803,-157,"absent"
"459","1",54,14,735,-225,"absent"
"460","1",55,1,947,13," easy"
"461","1",55,2,691,269," easy"
"462","1",55,3,711,249," easy"
"463","1",56,1,925,-35,"absent"
"464","1",56,2,799,-161,"absent"
"465","1",56,3,649,-311,"absent"
"466","1",56,4,1320,360,"absent"
"467","1",56,5,1455,495,"absent"
"468","1",56,6,670,-290,"absent"
"469","1",56,7,510,-450,"absent"
"470","1",56,8,749,-211,"absent"
"471","1",56,9,663,-297,"absent"
"472","1",56,10,646,-314,"absent"
"473","1",57,1,942,18,"absent"
"474","1",57,2,1007,-47,"absent"
"475","1",57,3,989,-29,"absent"
"476","1",57,4,975,-15,"absent"
"477","1",57,5,1360,-400,"absent"
"478","1",57,6,1127,-167,"absent"
"479","1",57,7,1233,-273,"absent"
"480","1",57,8,1200,-240,"absent"
"481","1",57,9,1229,-269,"absent"
"482","1",57,10,1339,-379,"absent"
"483","1",57,11,679,281,"absent"
"484","1",57,12,575,385,"absent"
"485","1",58,1,950,-10,"absent"
"486","1",58,2,874,-86,"absent"
"487","1",58,3,911,-49,"absent"
"488","1",58,4,938,-22,"absent"
"489","1",58,5,524,-436,"absent"
"490","1",58,6,615,-345,"absent"
"491","1",58,7,1139,179,"absent"
"492","1",58,8,975,15,"absent"
"493","1",58,9,630,-330,"absent"
"494","1",59,1,950,10," easy"
"495","1",59,2,558,402," easy"
"496","1",59,3,530,430," easy"
"497","1",60,1,954,6,"absent"
