"condition","subj","trialNum","fixNo","xFix","xFixFlip","yFix","targSide","easySide","accuracy","RT","targetPre","trialType"
"83","tex",1,27,5,554,-406,325,"absent"," right",0,3.963,"absent","half"
"84","tex",1,27,6,874,-86,873,"absent"," right",0,3.963,"absent","half"
"85","tex",1,27,7,674,-286,911,"absent"," right",0,3.963,"absent","half"
"86","tex",1,27,8,927,-33,935,"absent"," right",0,3.963,"absent","half"
"87","tex",1,27,9,1304,344,899,"absent"," right",0,3.963,"absent","half"
"88","tex",1,27,10,1393,433,571,"absent"," right",0,3.963,"absent","half"
"89","tex",1,27,11,1203,243,533,"absent"," right",0,3.963,"absent","half"
"90","tex",1,27,12,1128,168,558,"absent"," right",0,3.963,"absent","half"
"91","tex",1,27,13,1111,151,697,"absent"," right",0,3.963,"absent","half"
"92","tex",1,27,14,1124,164,670,"absent"," right",0,3.963,"absent","half"
"93","tex",1,28,1,957,3,541," hard"," left",1,1.858,"present","half"
"94","tex",1,28,2,914,46,532," hard"," left",1,1.858,"present","half"
"95","tex",1,28,3,976,-16,597," hard"," left",1,1.858,"present","half"
"96","tex",1,28,4,654,306,417," hard"," left",1,1.858,"present","half"
"97","tex",1,28,5,1047,-87,474," hard"," left",1,1.858,"present","half"
"98","tex",1,28,6,1014,-54,492," hard"," left",1,1.858,"present","half"
"99","tex",1,28,7,1366,-406,499," hard"," left",1,1.858,"present","half"
"100","tex",1,28,8,1368,-408,484," hard"," left",1,1.858,"present","half"
"101","tex",1,29,1,948,12,543,"absent"," left",1,5.725,"absent","half"
"102","tex",1,29,2,1103,-143,519,"absent"," left",1,5.725,"absent","half"
"103","tex",1,29,3,1004,-44,518,"absent"," left",1,5.725,"absent","half"
"104","tex",1,29,4,976,-16,482,"absent"," left",1,5.725,"absent","half"
"105","tex",1,29,5,524,436,517,"absent"," left",1,5.725,"absent","half"
"106","tex",1,29,6,506,454,603,"absent"," left",1,5.725,"absent","half"
"107","tex",1,29,7,454,506,921,"absent"," left",1,5.725,"absent","half"
"108","tex",1,29,8,461,499,895,"absent"," left",1,5.725,"absent","half"
