person, deadline, block, trialNum, trialType, targetPresent, targTheta, targLocX, targLocY, targVar, response, rt
2, 0, 1, 1, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.272
2, 0, 1, 2, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.283
2, 0, 1, 3, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.312
2, 0, 1, 4, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.732
2, 0, 1, 5, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.497
2, 0, 1, 6, half, a, -7.853982e-01, 13, 14, 5.235988e-01, 1.000, 1.588846e+00
2, 0, 1, 7, half, a, -7.853982e-01, 30, 14, 5.235988e-01, 1.000, 1.304895e+00
2, 0, 1, 8, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 1.635
2, 0, 1, 9, half, a, -7.853982e-01, 11, 3, 2.094395e+00, -1.000, 1.779811e+00
2, 0, 1, 10, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.754
2, 0, 1, 11, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 1.574
2, 0, 1, 12, half, a, -7.853982e-01, 10, 13, 5.235988e-01, 1.000, 1.143716e+00
2, 0, 1, 13, half, a, -7.853982e-01, 28, 6, 5.235988e-01, 1.000, 1.019306e+00
2, 0, 1, 14, half, a, -7.853982e-01, 2, 14, 5.235988e-01, 1.000, 1.195216e+00
2, 0, 1, 15, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 1.716
2, 0, 1, 16, half, a, -7.853982e-01, 21, , 2.094395e+00, -1.000, 1.090489e+00
2, 0, 1, 17, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.409
2, 0, 1, 18, half, a, -7.853982e-01, 4, , 2.094395e+00, -1.000, 1.853495e+00
2, 0, 1, 19, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.205
2, 0, 1, 20, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.176
2, 0, 1, 21, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.507
2, 0, 1, 22, half, a, -7.853982e-01, 27, , 2.094395e+00, -1.000, 1.533972e+00
2, 0, 1, 23, half, a, -7.853982e-01, 11, , 5.235988e-01, 1.000, 1.412429e+00
2, 0, 1, 24, half, a, -7.853982e-01, 24, , 2.094395e+00, -1.000, 2.302054e+00
2, 0, 1, 25, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 4.950
2, 0, 1, 26, half, a, -7.853982e-01, 19, , 5.235988e-01, 1.000, 1.258406e+00
2, 0, 1, 27, half, a, -7.853982e-01, 22, , 5.235988e-01, 1.000, 8.140429e-01
2, 0, 1, 28, half, a, -7.853982e-01, 21, , 2.094395e+00, -1.000, 1.654401e+00
2, 0, 1, 29, half, p, -7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.783
2, 0, 1, 30, half, a, -7.853982e-01, 10, , 5.235988e-01, 1.000, 1.308972e+00
2, 0, 2, 1, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 1.804
2, 0, 2, 2, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.162
2, 0, 2, 3, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.620
2, 0, 2, 4, half, a, 7.853982e-01, 29, , 5.235988e-01, 1.000, 6.873519e-01
2, 0, 2, 5, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 0.827
2, 0, 2, 6, half, a, 7.853982e-01, 7, , 2.094395e+00, -1.000, 1.412229e+00
2, 0, 2, 7, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.773
2, 0, 2, 8, half, a, 7.853982e-01, 8, , 2.094395e+00, -1.000, 2.948816e+00
2, 0, 2, 9, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.134
2, 0, 2, 10, half, a, 7.853982e-01, 15, , 2.094395e+00, -1.000, 2.898385e+00
2, 0, 2, 11, half, a, 7.853982e-01, 9, , 2.094395e+00, -1.000, 2.958757e+00
2, 0, 2, 12, half, a, 7.853982e-01, 3, , 2.094395e+00, -1.000, 5.552938e+00
2, 0, 2, 13, half, a, 7.853982e-01, 20, , 2.094395e+00, 1.000, 4.363775e+00
2, 0, 2, 14, half, a, 7.853982e-01, 12, , 2.094395e+00, 1.000, 6.014870e+00
2, 0, 2, 15, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 8.227
2, 0, 2, 16, half, p, 7.853982e-01, NaN, NaN, NaN, , 2.703
2, 0, 2, 17, half, a, 7.853982e-01, 2, , 2.094395e+00, 1.000, 4.460448e+00
2, 0, 2, 18, half, a, 7.853982e-01, 6, , 5.235988e-01, 1.000, 1.172619e+00
2, 0, 2, 19, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 4.744
2, 0, 2, 20, half, a, 7.853982e-01, 28, 	, 2.094395e+00, -1.000, 3.371563e+00
2, 0, 2, 21, half, a, 7.853982e-01, 24, , 2.094395e+00, -1.000, 5.272455e+00
2, 0, 2, 22, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 5.958
2, 0, 2, 23, half, a, 7.853982e-01, 8, , 5.235988e-01, 1.000, 1.158124e+00
2, 0, 2, 24, half, p, 7.853982e-01, NaN, NaN, NaN, , 9.539
2, 0, 2, 25, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 3.205
2, 0, 2, 26, half, a, 7.853982e-01, 9, , 5.235988e-01, 1.000, 1.289937e+00
2, 0, 2, 27, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 5.063
2, 0, 2, 28, half, a, 7.853982e-01, 18, , 5.235988e-01, 1.000, 1.990199e+00
2, 0, 2, 29, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 4.743
2, 0, 2, 30, half, p, 7.853982e-01, NaN, NaN, NaN, -1.000000e+00, 2.886, 
